YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2012,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,16.2,,,0.9,14.4,18,3297,Female,All Races,All Ages,All Grades,"(41.70828019300046, -71.52247031399963)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2017,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,13.6,,,1,11.7,15.5,6889,Female,All Races,All Ages,All Grades,"(31.827240407000488, -99.42677020599967)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2019,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2016,NM,New Mexico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,0.9,,,0.2,0.5,1.3,3313,Female,All Races,All Ages,All Grades,"(34.52088095200048, -106.24058098499967)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF80,80
2018,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,76.6,,,3.5,69.7,83.5,583,Female,All Races,All Ages,All Grades,"(44.353130053000484, -100.3735306369997)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2018,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,14.7,,,1,12.8,16.6,2835,Male,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,100BEH,110CSA,2GEN,8AGE,6RAC,6EDU,BRF21,21
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,0.7,,,0.2,0.2,1.2,1140,Female,All Races,18 to 44 Years,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,15.9,,,0.8,14.3,17.5,3104,Male,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2014,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,16.7,,,0.8,15.1,18.3,5897,Male,All Races,All Ages,All Grades,"(42.27687047000046, -72.08269067499964)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2015,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,71.7,,,2.9,65.9,77.5,452,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2017,WI,Wisconsin,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,62.5,,,6.8,49.1,75.9,92,Male,All Races,All Ages,All Grades,"(44.39319117400049, -89.81637074199966)",BEH,107BEH,175EFU,2GEN,8AGE,6RAC,6EDU,BRF62,62
2019,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,99.3,,,0.2,98.9,99.7,4734,Female,All Races,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF81,81
2011,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,76.2,,,2.6,71.2,81.2,499,Female,All Races,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2013,WA,Washington,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,6.6,,,0.5,5.6,7.6,4730,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,150BEH,177SCU,2GEN,8AGE,6RAC,6EDU,BRF68,68
2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,71.8,,,4.3,63.4,80.2,209,Male,All Races,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2017,ME,Maine,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,5.8,,,0.7,4.5,7.1,3975,Male,All Races,All Ages,All Grades,"(45.254228894000505, -68.98503133599962)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2013,PR,Puerto Rico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,All Grades,"(18.220833, -66.590149)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF79,79
2017,DE,Delaware,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,61.8,,,7.2,47.6,76,79,Male,All Races,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,107BEH,175EFU,2GEN,8AGE,6RAC,6EDU,BRF62,62
2016,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,49.1,,,1.3,46.5,51.7,2804,Male,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2017,MD,Maryland,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Never,%,Percentage,86,,,0.7,84.5,87.5,7509,Female,All Races,All Ages,All Grades,"(39.29058096400047, -76.60926011099963)",BEH,107BEH,176EUS,3GEN,8AGE,6RAC,6EDU,BRF65,65
2019,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1.1,,,0.2,0.6,1.6,3457,Female,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,150BEH,177SCU,3GEN,8AGE,6RAC,6EDU,BRF69,69
2014,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,3,,,0.4,2.2,3.8,5057,Male,All Races,All Ages,All Grades,"(40.13057004800049, -74.27369128799967)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2019,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,99,,,0.3,98.3,99.7,3663,Female,All Races,All Ages,All Grades,"(44.353130053000484, -100.3735306369997)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF81,81
2014,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,18.9,,,0.8,17.3,20.5,4700,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2012,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,78.4,,,1.7,75.1,81.7,1100,Male,All Races,All Ages,All Grades,"(40.06021014100048, -82.40426005599966)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2019,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,67.1,,,2.7,61.9,72.3,465,Male,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2011,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,All Grades,"(41.70828019300046, -71.52247031399963)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2013,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,21.6,,,0.7,20.3,22.9,5541,Male,All Races,All Ages,All Grades,"(39.360700171000474, -111.58713063499971)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2019,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,67,,,4.9,57.3,76.7,556,Female,All Races,All Ages,All Grades,"(44.353130053000484, -100.3735306369997)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2013,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(41.70828019300046, -71.52247031399963)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2018,TX,Texas,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Current Use,BRFSS,,%,Percentage,7,,,0.9,5.2,8.8,4079,Male,All Races,All Ages,All Grades,"(31.827240407000488, -99.42677020599967)",BEH,107BEH,174ECU,2GEN,8AGE,6RAC,6EDU,BRF52,52
2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,28.1,,,1.1,25.8,30.4,2434,Male,All Races,All Ages,All Grades,"(40.79373015200048, -77.86070029399963)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2011,FL,Florida,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,55.3,,,3,49.5,61.1,654,Male,All Races,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2016,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,18.7,,,0.7,17.3,20.1,5084,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2016,VT,Vermont,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Current,%,Percentage,4.5,,,0.7,3.1,5.9,2804,Male,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,107BEH,176EUS,2GEN,8AGE,6RAC,6EDU,BRF63,63
2012,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,53,,,4,45.2,60.8,244,Male,All Races,All Ages,All Grades,"(31.827240407000488, -99.42677020599967)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2011,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,27.2,,,2.7,21.9,32.5,453,Female,All Races,All Ages,All Grades,"(47.47531977900047, -100.11842104899966)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2011,MI,Michigan,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,98.7,,,0.2,98.2,99.2,6611,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF81,81
2018,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,1.5,,,0.3,0.9,2.1,2942,Female,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF80,80
2018,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,98.1,,,0.4,97.3,98.9,1429,Male,All Races,All Ages,All Grades,"(40.13057004800049, -74.27369128799967)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2014,AK,Alaska,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,55.9,,,2.2,51.6,60.2,1015,Female,All Races,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2012,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,52.5,,,7.7,37.4,67.6,73,Male,All Races,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF79,79
2012,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72.9,,,1.8,69.4,76.4,1078,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2018,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,23.8,,,0.7,22.4,25.2,5275,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2018,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,22.9,,,2.4,18.2,27.6,475,Male,All Races,All Ages,All Grades,"(40.79373015200048, -77.86070029399963)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2015,AR,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,11.1,,,1.3,8.6,13.6,1856,Male,All Races,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2013,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,33.8,,,2.6,28.7,38.9,1065,Female,All Races,All Ages,All Grades,"(46.35564873600049, -94.79420050299967)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2012,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,10,,,0.9,8.3,11.7,2608,Male,All Races,All Ages,All Grades,"(38.635790776000476, -92.56630005299968)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,22.2,,,3.3,15.8,28.6,416,Female,All Races,18 to 44 Years,All Grades,"(13.444304, 144.793731)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2016,NM,New Mexico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,46.4,,,5,36.6,56.2,185,Male,All Races,All Ages,All Grades,"(34.52088095200048, -106.24058098499967)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF79,79
2017,VT,Vermont,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,0.7,,,0.2,0.3,1.1,3436,Female,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,150BEH,177SCU,3GEN,8AGE,6RAC,6EDU,BRF69,69
2017,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,17.1,,,0.9,15.3,18.9,3568,Female,All Races,All Ages,All Grades,"(47.47531977900047, -100.11842104899966)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2016,PR,Puerto Rico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1,,,0.5,0,2,1085,Female,All Races,18 to 44 Years,All Grades,"(18.220833, -66.590149)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,WV,West Virginia,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Current,%,Percentage,4.9,,,0.5,3.9,5.9,3104,Male,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,107BEH,176EUS,2GEN,8AGE,6RAC,6EDU,BRF63,63
2017,CT,Connecticut,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Current,%,Percentage,4.5,,,0.5,3.5,5.5,4350,Male,All Races,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,107BEH,176EUS,2GEN,8AGE,6RAC,6EDU,BRF63,63
2015,MI,Michigan,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,99.3,,,0.2,99,99.6,4947,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF81,81
2012,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,3.2,,,0.5,2.3,4.1,3480,Male,All Races,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,150BEH,177SCU,2GEN,8AGE,6RAC,6EDU,BRF68,68
2016,MD,Maryland,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,49,,,5.1,39.1,58.9,204,Male,All Races,All Ages,All Grades,"(39.29058096400047, -76.60926011099963)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF79,79
2013,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,13.9,,,0.9,12.2,15.6,3437,Male,All Races,All Ages,All Grades,"(47.47531977900047, -100.11842104899966)",BEH,150BEH,177SCU,2GEN,8AGE,6RAC,6EDU,BRF68,68
2015,CO,Colorado,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,51.2,,,3.3,44.8,57.6,585,Female,All Races,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2013,DC,District of Columbia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,2.5,,,0.7,1.1,3.9,1873,Male,All Races,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2017,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,34.2,,,2.3,29.8,38.6,754,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2019,NM,New Mexico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,54.6,,,5,44.8,64.4,199,Male,All Races,All Ages,All Grades,"(34.52088095200048, -106.24058098499967)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2018,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,12.6,,,1,10.6,14.6,2271,Female,All Races,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2018,NM,New Mexico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,8.2,,,0.7,6.8,9.6,2986,Male,All Races,All Ages,All Grades,"(34.52088095200048, -106.24058098499967)",BEH,150BEH,177SCU,2GEN,8AGE,6RAC,6EDU,BRF69,69
2016,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,54,,,0.8,52.4,55.6,6242,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2019,MT,Montana,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,59.4,,,1.7,56,62.8,1316,Female,All Races,All Ages,All Grades,"(47.06652897200047, -109.42442064499971)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2018,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,15.5,,,1.8,12,19,556,Female,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2017,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,26.7,,,2.2,22.3,31.1,547,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2015,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,29.4,,,3.1,23.3,35.5,512,Female,All Races,All Ages,All Grades,"(47.06652897200047, -109.42442064499971)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2012,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,0.5,,,0.1,0.2,0.8,3306,Female,All Races,All Ages,All Grades,"(41.70828019300046, -71.52247031399963)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF80,80
2014,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2012,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,28.6,,,1.7,25.2,32,1213,Female,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2019,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,29.5,,,9.5,10.9,48.1,62,Female,All Races,All Ages,All Grades,"(31.827240407000488, -99.42677020599967)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF78,78
2018,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,52.4,,,0.9,50.7,54.1,4198,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2018,IA,Iowa,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,42.8,,,4,35,50.6,191,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,107BEH,175EFU,2GEN,8AGE,6RAC,6EDU,BRF61,61
2011,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1.5,,,0.5,0.5,2.5,1631,Female,All Races,18 to 44 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2019,AR,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2014,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,20.4,,,0.9,18.6,22.2,4091,Female,All Races,All Ages,All Grades,"(38.635790776000476, -92.56630005299968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2014,FL,Florida,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,56.3,,,3.2,50,62.6,385,Male,All Races,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2011,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,50.2,,,0.7,48.8,51.6,10189,Male,All Races,All Ages,All Grades,"(41.6410409880005, -99.36572062299967)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2014,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,27.8,,,1.1,25.6,30,2572,Male,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,100BEH,110CSA,2GEN,8AGE,6RAC,6EDU,BRF21,21
2015,RI,Rhode Island,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,62.3,,,2.2,58,66.6,1238,Male,All Races,All Ages,All Grades,"(41.70828019300046, -71.52247031399963)",BEH,101BEH,169QUP,2GEN,8AGE,6RAC,6EDU,BRF06,6
2012,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1,,,0.2,0.6,1.4,4742,Female,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,150BEH,177SCU,3GEN,8AGE,6RAC,6EDU,BRF68,68
